Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
AFC4A06390,Sebastes miniatus,Vermilion Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06410,Sebastes nebulosus,China Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06420,Sebastes nigrocinctus,Tiger Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06440,Sebastes paucispinis,Bocaccio,,SNR (2002),Not Reviewed,G4 (2003),E,,,,,
AFC4A06460,Sebastes pinniger,Canary Rockfish,,SNR,Not Reviewed,GNR,T,,,,,
AFC4A06470,Sebastes polyspinis,Northern Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06480,Sebastes proriger,Redstripe Rockfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC4A06500,Sebastes reedi,Yellowmouth Rockfish,,SNR,Not Reviewed,GNR,T,,,,,
AFC4A06530,Sebastes ruberrimus,Yelloweye Rockfish,,SNR,Not Reviewed,GNR,T,1-SC,,,,
AFC4A06560,Sebastes rufus,Bank Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06570,Sebastes saxicola,Stripetail Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06700,Sebastes variabilis,Dusky Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06630,Sebastes variegatus,Harlequin Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06640,Sebastes wilsoni,Pygmy Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06650,Sebastes zacentrus,Sharpchin Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A07010,Sebastolobus alascanus,Shortspine Thornyhead,,SNR,Not Reviewed,GNR,,,,,,
AFC4A07020,Sebastolobus altivelis,Longspine Thornyhead,,SNR,Not Reviewed,GNR,SC,1-SC (2009),,,,
AFCQZ11040,Seriola lalandi,Yellowtail,,SNR,Not Reviewed,GNR,,,,,,
AFCQH16010,Seriphus politus,Queenfish,,SNR,Not Reviewed,GNR,,,,,,
AFCEK01010,Serrivomer jesperseni,Crossthroat Sawpalate,,SNR,Not Reviewed,GNR,,,,,,
AFDEA06020,Somniosus pacificus,Pacific Sleeper Shark,,SNR,Not Reviewed,GNR,,,,,,
AFCMD08010,Spectrunculus grandis,Giant Cusk-eel,,SNR,Not Reviewed,GNR,,,,,,
AFCQV01010,Sphyraena argentea,Pacific Barracuda,,SNR,Not Reviewed,GNR,,,,,,
AFCHB03030,Spirinchus sp. 1,Pygmy Longfin Smelt,CWH,S2 (2019),Red,G5T2Q (2019),DD,,,,Y,
AFCHB03020,Spirinchus starksi,Night Smelt,,SNR,Not Reviewed,GNR,,,,,,
AFCHB03010,Spirinchus thaleichthys,Longfin Smelt,CDF; CWH,S3? (2019),Blue,G5 (2016),,,,,,
AFDEA07040,Squalus suckleyi,Spiny Dogfish,,SNR,Not Reviewed,G5 (2017),SC,,,,,
AFC4F15010,Stellerina xyosterna,Pixie Poacher,,SNR,Not Reviewed,GNR,,,,,,
AFCVH07010,Stenobrachius leucopsarus,Northern Lampfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCVH07020,Stenobrachius nannochir,Garnet Lanternfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCHA06010,Stenodus leucichthys,Inconnu,BWBS; CWH,S3 (2019),Blue,G5 (2016),,,,,Y,
AFC7C02010,Sternoptyx pseudobscura,Highlight Hatchetface,,SNR,Not Reviewed,GNR,,,,,,
AFCSC17010,Stichaeus punctatus,Arctic Shanny,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCVH14010,Symbolophorus californiensis,Bigfin Lanternfish,,SNR,Not Reviewed,GNR,,,,,,
AFCTC04020,Symphurus atricaudus,California Tonguefish,,SNR,Not Reviewed,GNR,,,,,,
AFC4E15010,Synchirus gilli,Manacled Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFCPB010D0,Syngnathus leptorhynchus,Bay Pipefish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC8B02030,Synodus lucioceps,Smallscale Lizardfish,,SNR,Not Reviewed,GNR,,,,,,
AFC7B02010,Tactostoma macropus,Longfin Dragonfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCHH01010,Talismania bifurcata,Threadfin Slickhead,,SNR,Not Reviewed,GNR,,,,,,
AFCRH03010,Taractes asper,Rough Pomfret,,SNR,Not Reviewed,GNR,,,,,,
AFCMG06010,Taranetzella lyoderma,Ghostly Eelpout,,SNR,Not Reviewed,G5 (2009),,,,,,
AFCVH08010,Tarletonbeania crenularis,Blue Lanternfish,,SNR,Not Reviewed,GNR,,,,,,
AFCVH08020,Tarletonbeania taylori,Taillight Lanternfish,,SNR,Not Reviewed,GNR,,,,,,
AFCS409020,Tetragonurus cuvieri,Smalleye Squaretail,,SNR,Not Reviewed,GNR,,,,,,
AFCEC04010,Thalassenchelys coheni,Transparent Eel,,SNR,Not Reviewed,GNR,,,,,,
AFCHB04010,Thaleichthys pacificus,Eulachon,CWH,S2S3 (2004),Blue,G5 (2005),E/T,,,,,
AFCHB04011,Thaleichthys pacificus pop. 1,Eulachon - Central Pacific Coast population,,SNR,Not Reviewed,G5TNRQ,E,,,,,
AFCHB04012,Thaleichthys pacificus pop. 2,Eulachon - Fraser River Population,,SNR,Not Reviewed,G5TNRQ,E,,,,,
AFCHB04013,Thaleichthys pacificus pop. 3,Eulachon - Nass / Skeena Rivers Population,,SNR,Not Reviewed,G5TNRQ,SC,,,,,
AFCMA14010,Theragra chalcogramma,Walleye Pollock,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCS308010,Thunnus alalunga,Albacore,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCS308060,Thunnus orientalis,Pacific Bluefin Tuna,,SNR,Not Reviewed,GNR,,,,,,
AFCHA07010,Thymallus arcticus,Arctic Grayling,,S4 (2004),Yellow,G5 (2015),,,,,,
AFCHA07013,Thymallus arcticus - Nahanni lineage,Arctic Grayling - Nahanni Lineage,,S3? (2012),Blue,G5TNRQ,,,,,,
AFCHA07014,Thymallus arcticus - Southern Beringean lineage,Arctic Grayling - Southern Beringean lineage,,S4? (2012),Yellow,G5TNRQ,,,,,,
AFCJB43010,Tinca tinca,Tench,,SNA (2019),Exotic,G5 (1996),,,,,,
AFDFB02010,Torpedo californica,Pacific Electric Ray,,SNR,Not Reviewed,GNR,,,,,,
AFC2C02010,Trachipterus altivelis,King-of-the-salmon,,SNR,Not Reviewed,GNR,,,,,,
AFCQZ13020,Trachurus symmetricus,Jack Mackerel,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCRW02010,Trichodon trichodon,Pacific Sandfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4E16020,Triglops macellus,Roughspine Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E16050,Triglops pingelii,Ribbed Sculpin,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC4F16010,Xeneretmus latifrons,Blacktip Poacher,,SNR,Not Reviewed,GNR,,,,,,
AFC4F16020,Xeneretmus leiops,Smootheye Poacher,,SNR,Not Reviewed,GNR,,,,,,
AFC4F16040,Xeneretmus triacanthus,Bluespotted Poacher,,SNR,Not Reviewed,GNR,,,,,,
AFCEG09020,Xenomystax atrarius,Twinpored Eel,,SNR,Not Reviewed,GNR,,,,,,
AFCSM01010,Xiphias gladius,Swordfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCSC19010,Xiphister atropurpureus,Black Prickleback,,SNR,Not Reviewed,GNR,,,,,,
AFCSC19020,Xiphister mucosus,Rock Prickleback,,SNR,Not Reviewed,GNR,,,,,,
AFC4D05020,Zaniolepis latipinnis,Longspine Combfish,,SNR,Not Reviewed,GNR,,,,,,
AFCSH01010,Zaprora silenus,Prowfish,,SNR,Not Reviewed,G4G5 (2008),,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
